address,state,city,zip,building_sq_ft,hvacc_cooling_code,hvacc_heating_code,foundation_code,fl_fema_flood_zone,tax_assessor_id,average_household_income,vintage
2020 LENOX ST,PA,CAMP HILL,17011,1066,13.0,4.0,,X,455145712,125655,2023B
2010 LENOX ST,PA,CAMP HILL,17011,1476,13.0,4.0,,X,455145716,125655,2023B
2004 LENOX ST,PA,CAMP HILL,17011,1400,13.0,8.0,,X,455145720,125655,2023B
2001 DIGHTON ST,PA,CAMP HILL,17011,1800,13.0,4.0,,X,455145724,125655,2023B
1914 LENOX ST,PA,CAMP HILL,17011,1148,13.0,4.0,,X,455145728,125655,2023B
1910 LENOX ST,PA,CAMP HILL,17011,720,6.0,4.0,,X,455145732,125655,2023B
390 N 19TH ST,PA,CAMP HILL,17011,1591,13.0,4.0,,X,455145736,125655,2023B
1901 LENOX ST,PA,CAMP HILL,17011,1120,13.0,13.0,,X,455145740,125655,2023B
1905 LENOX ST,PA,CAMP HILL,17011,1534,13.0,10.0,,X,455145744,125655,2023B
1909 LENOX ST,PA,CAMP HILL,17011,1099,13.0,4.0,,X,455145764,125655,2023B
1915 LENOX ST,PA,CAMP HILL,17011,2560,13.0,4.0,,X,455145772,125655,2023B
2069 LENOX ST,PA,CAMP HILL,17011,1143,6.0,4.0,,X,455145792,125655,2023B
2073 LENOX ST,PA,CAMP HILL,17011,1144,13.0,4.0,,X,455145800,125655,2023B
341 N 21ST ST,PA,CAMP HILL,17011,1360,13.0,4.0,,X,455145808,125655,2023B
339 N 21ST ST,PA,CAMP HILL,17011,1629,13.0,4.0,,X,455145816,125655,2023B
2080 ENFIELD ST,PA,CAMP HILL,17011,2944,13.0,4.0,,X,455145824,125655,2023B
2074 ENFIELD ST,PA,CAMP HILL,17011,1263,13.0,4.0,,X,455145828,125655,2023B
2070 ENFIELD ST,PA,CAMP HILL,17011,1452,13.0,4.0,13,X,455145832,125655,2023B
1950 ENFIELD ST,PA,CAMP HILL,17011,780,13.0,10.0,,X,455145836,125655,2023B
1951 LENOX ST,PA,CAMP HILL,17011,1620,6.0,13.0,,X,455145840,125655,2023B
1924 ENFIELD ST,PA,CAMP HILL,17011,768,13.0,4.0,,X,455145844,125655,2023B
1918 ENFIELD ST,PA,CAMP HILL,17011,1219,6.0,4.0,,X,455145848,125655,2023B
1914 ENFIELD ST,PA,CAMP HILL,17011,1059,6.0,4.0,,X,455145852,125655,2023B
1910 ENFIELD ST,PA,CAMP HILL,17011,1033,13.0,4.0,,X,455145856,125655,2023B
1900 ENFIELD ST,PA,CAMP HILL,17011,1025,13.0,4.0,,X,455145860,125655,2023B
1901 ENFIELD ST,PA,CAMP HILL,17011,1507,13.0,4.0,,X,455145864,125655,2023B
1907 ENFIELD ST,PA,CAMP HILL,17011,1580,13.0,10.0,,X,455145868,125655,2023B
1913 ENFIELD ST,PA,CAMP HILL,17011,2138,6.0,4.0,,X,455145872,125655,2023B
1910 RUTLAND ST,PA,CAMP HILL,17011,1548,13.0,13.0,,X,455145876,125655,2023B
1919 ENFIELD ST,PA,CAMP HILL,17011,1060,13.0,4.0,,X,455145880,125655,2023B
1925 ENFIELD ST,PA,CAMP HILL,17011,1220,6.0,4.0,,X,455145884,125655,2023B
1912 RUTLAND ST,PA,CAMP HILL,17011,1296,13.0,8.0,,X,455145888,125655,2023B
1927 ENFIELD ST,PA,CAMP HILL,17011,1415,13.0,10.0,,X,455145892,125655,2023B
319 FAULKNER ST,PA,CAMP HILL,17011,2000,13.0,4.0,,X,455145896,125655,2023B
1906 RUTLAND ST,PA,CAMP HILL,17011,1140,6.0,10.0,,X,455145904,125655,2023B
1908 RUTLAND ST,PA,CAMP HILL,17011,1824,13.0,4.0,,X,455145916,125655,2023B
2013 ENFIELD ST,PA,CAMP HILL,17011,1092,6.0,10.0,,X,455145960,125655,2023B
309 N 21ST ST,PA,CAMP HILL,17011,1548,13.0,10.0,,X,455145976,125655,2023B
2028 ARLINGTON ST,PA,CAMP HILL,17011,1509,13.0,8.0,,X,455145980,125655,2023B
2026 ARLINGTON ST,PA,CAMP HILL,17011,1228,13.0,4.0,,X,455145988,125655,2023B
300 FAULKNER ST,PA,CAMP HILL,17011,1736,6.0,4.0,,X,455145992,125655,2023B
314 FAULKNER ST,PA,CAMP HILL,17011,1040,13.0,4.0,,X,455145996,125655,2023B
316 FAULKNER ST,PA,CAMP HILL,17011,1120,13.0,10.0,,X,455146000,125655,2023B
1912 ARLINGTON ST,PA,CAMP HILL,17011,1428,13.0,10.0,,X,455146016,125655,2023B
1910 ARLINGTON ST,PA,CAMP HILL,17011,1248,13.0,4.0,,X,455146020,125655,2023B
1906 ARLINGTON ST,PA,CAMP HILL,17011,1192,13.0,4.0,,X,455146024,125655,2023B
350 N 19TH ST,PA,CAMP HILL,17011,1668,13.0,4.0,,X,455146028,125655,2023B
370 N 19TH ST,PA,CAMP HILL,17011,1120,13.0,13.0,,X,455146032,125655,2023B
1907 RUTLAND ST,PA,CAMP HILL,17011,1490,13.0,10.0,,X,455146036,125655,2023B
1917 RUTLAND ST,PA,CAMP HILL,17011,1120,13.0,4.0,,X,455146040,125655,2023B
1921 RUTLAND ST,PA,CAMP HILL,17011,1140,13.0,4.0,,X,455146044,125655,2023B
1923 RUTLAND ST,PA,CAMP HILL,17011,1120,13.0,10.0,,X,455146048,125655,2023B
1929 RUTLAND ST,PA,CAMP HILL,17011,1040,13.0,4.0,,X,455146052,125655,2023B
399 N 19TH ST,PA,CAMP HILL,17011,1123,13.0,4.0,,X,455146056,125655,2023B
397 N 19TH ST,PA,CAMP HILL,17011,988,13.0,4.0,,X,455146064,125655,2023B
395 N 19TH ST,PA,CAMP HILL,17011,1258,13.0,4.0,,X,455146072,125655,2023B
