address,state,city,zip,building_sq_ft,hvacc_cooling_code,hvacc_heating_code,foundation_code,fl_fema_flood_zone,tax_assessor_id,average_household_income,vintage
433 W SOUTH ST,PA,CARLISLE,17013,1946,6.0,4.0,,X,455298972,99317,2023B
429 W SOUTH ST,PA,CARLISLE,17013,1974,13.0,4.0,,X,455298976,99317,2023B
427 W SOUTH ST,PA,CARLISLE,17013,1968,6.0,4.0,,X,455298980,99317,2023B
419 W SOUTH ST,PA,CARLISLE,17013,1818,13.0,4.0,,X,455298984,99317,2023B
409 W SOUTH ST,PA,CARLISLE,17013,1800,13.0,4.0,,X,455298992,99317,2023B
407 W SOUTH ST,PA,CARLISLE,17013,2359,13.0,4.0,,X,455299160,99317,2023B
405 W SOUTH ST,PA,CARLISLE,17013,2276,13.0,4.0,,X,455299280,99317,2023B
124 MOORELAND AVE,PA,CARLISLE,17013,2290,13.0,4.0,,X,455299292,99317,2023B
112 MOORELAND AVE,PA,CARLISLE,17013,2226,13.0,10.0,,X,455299296,99317,2023B
108 MOORELAND AVE,PA,CARLISLE,17013,1352,6.0,4.0,,X,455299300,99317,2023B
106 MOORELAND AVE,PA,CARLISLE,17013,1385,6.0,4.0,,X,455299304,99317,2023B
100 MOORELAND AVE,PA,CARLISLE,17013,2151,6.0,10.0,,X,455299308,99317,2023B
372 W SOUTH ST,PA,CARLISLE,17013,1914,13.0,4.0,,X,455299940,99317,2023B
227 MOORELAND AVE,PA,CARLISLE,17013,1941,13.0,4.0,,X,455299956,99317,2023B
229 MOORELAND AVE,PA,CARLISLE,17013,1827,13.0,4.0,,X,455299984,99317,2023B
355 GRAHAM ST,PA,CARLISLE,17013,2060,6.0,4.0,,X,455300000,99317,2023B
351 GRAHAM ST,PA,CARLISLE,17013,2711,13.0,4.0,,X,455300016,99317,2023B
345 GRAHAM ST,PA,CARLISLE,17013,1978,6.0,4.0,,X,455300024,99317,2023B
339 GRAHAM ST,PA,CARLISLE,17013,1248,6.0,4.0,,X,455300032,99317,2023B
337 GRAHAM ST,PA,CARLISLE,17013,1723,6.0,4.0,,X,455300052,99317,2023B
321 GRAHAM ST,PA,CARLISLE,17013,1390,6.0,4.0,,X,455300064,99317,2023B
230 S COLLEGE ST,PA,CARLISLE,17013,2472,13.0,4.0,,X,455300080,99317,2023B
224 S COLLEGE ST,PA,CARLISLE,17013,3120,6.0,4.0,13,X,455300288,99317,2023B
210 S COLLEGE ST,PA,CARLISLE,17013,3200,13.0,10.0,,X,455300300,99317,2023B
